File: jsb_chorales_midi/train_16th/chorale_0004.mid
Key: A minor
------------------------------------------------------------
Tick   | Chord Name                     | Function
------------------------------------------------------------
0      | A-minor triad                  | i
1      | A-minor triad                  | i
2      | B-quartal tetramirror          | ii743
3      | B-quartal tetramirror          | ii743
4      | A-minor triad                  | i6
5      | A-minor triad                  | i6
6      | D-minor seventh chord          | iv7
7      | D-minor seventh chord          | iv7
8      | E-minor triad                  | v
9      | E-minor triad                  | v
10     | E-minor seventh chord          | v7
11     | E-minor seventh chord          | v7
12     | F-major triad                  | bVI6
13     | F-major triad                  | bVI6
14     | D-minor triad                  | iv64
15     | D-minor triad                  | iv64
16     | E-minor triad                  | v6
17     | E-minor triad                  | v6
18     | C-major triad                  | III64
19     | C-major triad                  | III64
20     | D-minor triad                  | iv6
21     | D-minor triad                  | iv6
22     | D-minor seventh chord          | iv65
23     | D-minor seventh chord          | iv65
24     | B-half-diminished seventh chord | iiø43
25     | B-half-diminished seventh chord | iiø43
26     | D-minor triad                  | iv6
27     | D-minor triad                  | iv6
28     | E-major triad                  | V
29     | E-major triad                  | V
30     | E-major triad                  | V
31     | E-major triad                  | V
32     | E-major triad                  | V6
33     | E-major triad                  | V6
34     | E-major triad                  | V6
35     | E-major triad                  | V6
36     | A-minor triad                  | i
37     | A-minor triad                  | i
38     | A-minor triad                  | i64
39     | A-minor triad                  | i64
40     | F-major triad                  | bVI
41     | F-major triad                  | bVI
42     | A-minor triad                  | i6
43     | A-minor triad                  | i6
44     | B-half-diminished seventh chord | iiø65
45     | B-half-diminished seventh chord | iiø65
46     | B-incomplete minor-seventh chord | ii7
47     | B-incomplete minor-seventh chord | ii7
48     | E-major triad                  | V
49     | E-major triad                  | V
50     | E-major triad                  | V
51     | E-major triad                  | V
52     | A-minor triad                  | i
53     | A-minor triad                  | i
54     | A-minor triad                  | i
55     | A-minor triad                  | i
56     | A-minor triad                  | i
57     | A-minor triad                  | i
58     | A-minor triad                  | i
59     | A-minor triad                  | i
60     | A-minor triad                  | i
61     | A-minor triad                  | i
62     | A-minor triad                  | i
63     | A-minor triad                  | i
64     | Rest                           | -
65     | Rest                           | -
66     | A-minor triad                  | i
67     | A-minor triad                  | i
68     | B-quartal tetramirror          | ii743
69     | B-quartal tetramirror          | ii743
70     | A-minor triad                  | i6
71     | A-minor triad                  | i6
72     | D-minor seventh chord          | iv7
73     | D-minor seventh chord          | iv7
74     | E-minor triad                  | v
75     | E-minor triad                  | v
76     | E-minor seventh chord          | v7
77     | E-minor seventh chord          | v7
78     | F-major triad                  | bVI6
79     | F-major triad                  | bVI6
80     | D-minor triad                  | iv64
81     | D-minor triad                  | iv64
82     | E-minor triad                  | v6
83     | E-minor triad                  | v6
84     | C-major triad                  | III64
85     | C-major triad                  | III64
86     | D-minor triad                  | iv6
87     | D-minor triad                  | iv6
88     | D-minor seventh chord          | iv65
89     | D-minor seventh chord          | iv65
90     | B-half-diminished seventh chord | iiø43
91     | B-half-diminished seventh chord | iiø43
92     | D-minor triad                  | iv6
93     | D-minor triad                  | iv6
94     | E-major triad                  | V
95     | E-major triad                  | V
96     | E-major triad                  | V
97     | E-major triad                  | V
98     | E-major triad                  | V6
99     | E-major triad                  | V6
100    | E-major triad                  | V6
101    | E-major triad                  | V6
102    | A-minor triad                  | i
103    | A-minor triad                  | i
104    | A-minor triad                  | i64
105    | A-minor triad                  | i64
106    | F-major triad                  | bVI
107    | F-major triad                  | bVI
108    | A-minor triad                  | i6
109    | A-minor triad                  | i6
110    | B-half-diminished seventh chord | iiø65
111    | B-half-diminished seventh chord | iiø65
112    | B-incomplete minor-seventh chord | ii7
113    | B-incomplete minor-seventh chord | ii7
114    | E-major triad                  | V
115    | E-major triad                  | V
116    | E-major triad                  | V
117    | E-major triad                  | V
118    | A-minor triad                  | i
119    | A-minor triad                  | i
120    | A-minor triad                  | i
121    | A-minor triad                  | i
122    | A-minor triad                  | i
123    | A-minor triad                  | i
